country,year,adaptation_and_nature_solutions,climate_science_and_phenomena,energy_and_technology,extreme_weather_and_impacts,greenhouse_gases_and_emissions,policy_agreements_and_economics,total_sentences,climate_sentences_BERT,climate_sentence_ratio_BERT
ARE,1977,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0
ARE,1978,0.0,0.0,0.0,0.0,0.0,0.0,48,1,0.020833333333333332
ARE,1979,0.0,0.0,0.0,0.0,0.0,0.0,31,1,0.03225806451612903
ARE,1980,0.0,0.0,0.0,0.0,0.0,0.0,73,7,0.0958904109589041
ARE,1981,0.0,0.0,0.0,0.0,0.0,0.0,76,2,0.02631578947368421
ARE,1982,0.0,0.0,0.0,0.0,0.0,0.0,61,3,0.04918032786885246
ARE,1983,0.0,0.0,0.0,0.0,0.0,0.0,42,1,0.023809523809523808
ARE,1984,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0.0
ARE,1985,0.0,0.0,0.0,0.0,0.0,0.0,55,0,0.0
ARE,1986,0.0,0.0,0.0,0.0,0.0,0.0,57,1,0.017543859649122806
ARE,1987,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0.010869565217391304
ARE,1988,0.0,0.0,0.0,0.0,0.0,0.0,77,0,0.0
ARE,1989,0.0,0.0,0.0,0.0,0.0,0.0,71,5,0.07042253521126761
ARE,1990,0.0,0.0,0.0,0.0,0.0,0.0,90,0,0.0
ARE,1991,0.0,0.0,0.0,0.0,0.0,0.0,57,4,0.07017543859649122
ARE,1992,0.0,0.0,0.0,0.0,0.0,0.0,76,5,0.06578947368421052
ARE,1993,0.0,0.0,0.0,0.0,0.0,0.0,40,2,0.05
ARE,1994,0.0,0.0,0.0,0.0,0.0,0.0,36,2,0.05555555555555555
ARE,1995,0.0,0.0,0.0,0.0,0.0,0.0,26,0,0.0
ARE,1996,0.0,0.0,0.0,0.0,0.0,0.0,62,3,0.04838709677419355
ARE,1997,0.0,0.0,0.0,0.0,0.0,0.0,42,3,0.07142857142857142
ARE,1998,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0.0
ARE,1999,0.0,0.0,0.0,0.0,0.0,0.0,34,0,0.0
ARE,2000,0.0,0.0,0.0,0.0,0.0,0.0,18,1,0.05555555555555555
ARE,2001,0.0,0.0,0.0,0.0,0.0,0.0,32,2,0.0625
ARE,2002,0.0,0.0,0.0,0.0,0.0,0.0,44,2,0.045454545454545456
ARE,2003,0.0,0.0,0.0,0.0,0.0,0.0,21,1,0.047619047619047616
ARE,2004,0.0,0.0,0.0,0.0,0.0,0.0,23,1,0.043478260869565216
ARE,2005,0.0,0.0,0.0,0.0,0.0,0.0,11,1,0.09090909090909091
ARE,2006,0.0,0.0,0.0,0.0,0.0,0.0,39,3,0.07692307692307693
ARE,2007,0.0,0.0,0.0,0.0,0.0,0.0,46,1,0.021739130434782608
ARE,2008,0.0,0.0,0.0,0.0,0.0,0.0,49,4,0.08163265306122448
ARE,2009,0.0,0.0,0.0,0.0,0.0,0.0,50,4,0.08
ARE,2010,0.0,0.0,0.0,0.0,0.0,0.0,53,4,0.07547169811320754
ARE,2011,0.0,0.0,0.0,0.0,0.0,0.0,52,3,0.057692307692307696
ARE,2012,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.03333333333333333
ARE,2013,0.0,0.0,0.0,0.0,0.0,0.0,46,3,0.06521739130434782
ARE,2014,0.0,0.0,0.0,0.0,0.0,0.0,77,11,0.14285714285714285
ARE,2015,0.0,0.0,0.0,0.0,0.0,0.0,39,1,0.02564102564102564
ARE,2016,0.0,0.0,0.0,0.0,0.0,0.0,54,2,0.037037037037037035
ARE,2017,0.0,0.0,0.0,0.0,0.0,0.0,61,2,0.03278688524590164
ARE,2018,0.0,0.0,0.0,0.0,0.0,0.0,48,1,0.020833333333333332
ARE,2019,0.0,0.0,0.0,0.0,0.0,0.0,48,1,0.020833333333333332
ARE,2020,0.0,0.0,0.0,0.0,0.0,0.0,53,2,0.03773584905660377
ARE,2021,0.0,0.0,0.0,0.0,0.0,1.0,46,7,0.15217391304347827
ARE,2022,0.0,0.0,0.0,0.0,0.0,0.0,47,8,0.1702127659574468
ARE,2023,0.0,0.0,0.0,0.0,0.0,0.0,73,16,0.2191780821917808
ARE,2024,0.0,0.0,0.0,0.0,0.0,0.0,82,7,0.08536585365853659
ARE,2025,0.0,0.0,0.0,0.0,0.0,1.0,59,3,0.05084745762711865
ARG,1946,0.0,0.0,0.0,0.0,0.0,0.0,71,0,0.0
ARG,1947,0.0,0.0,0.0,0.0,0.0,0.0,97,2,0.020618556701030927
ARG,1949,0.0,0.0,0.0,0.0,0.0,0.0,78,0,0.0
ARG,1950,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0.0
ARG,1951,0.0,0.0,0.0,0.0,0.0,0.0,36,1,0.027777777777777776
ARG,1952,0.0,0.0,0.0,0.0,0.0,0.0,63,0,0.0
ARG,1953,0.0,0.0,0.0,0.0,0.0,0.0,80,0,0.0
ARG,1954,0.0,0.0,0.0,0.0,0.0,0.0,74,1,0.013513513513513514
ARG,1955,0.0,0.0,0.0,0.0,0.0,0.0,59,0,0.0
ARG,1956,0.0,0.0,0.0,0.0,0.0,0.0,48,0,0.0
ARG,1957,0.0,0.0,0.0,0.0,0.0,0.0,47,0,0.0
ARG,1958,0.0,0.0,0.0,0.0,0.0,0.0,85,6,0.07058823529411765
ARG,1959,0.0,0.0,0.0,0.0,0.0,0.0,73,2,0.0273972602739726
ARG,1960,0.0,0.0,0.0,0.0,0.0,0.0,75,2,0.02666666666666667
ARG,1961,0.0,0.0,0.0,0.0,0.0,0.0,86,0,0.0
ARG,1962,0.0,0.0,0.0,0.0,0.0,0.0,94,3,0.031914893617021274
ARG,1963,0.0,0.0,0.0,0.0,0.0,0.0,88,3,0.03409090909090909
ARG,1964,0.0,0.0,0.0,0.0,0.0,0.0,140,0,0.0
ARG,1965,0.0,0.0,0.0,0.0,0.0,0.0,213,0,0.0
ARG,1966,0.0,0.0,0.0,0.0,0.0,0.0,101,2,0.019801980198019802
ARG,1967,0.0,0.0,0.0,0.0,0.0,0.0,98,1,0.01020408163265306
ARG,1968,0.0,0.0,0.0,0.0,0.0,0.0,151,3,0.019867549668874173
ARG,1969,0.0,0.0,0.0,0.0,0.0,0.0,146,2,0.0136986301369863
ARG,1970,0.0,0.0,0.0,0.0,0.0,0.0,121,2,0.01652892561983471
ARG,1971,0.0,0.0,0.0,0.0,0.0,0.0,118,6,0.05084745762711865
ARG,1972,0.0,0.0,0.0,0.0,0.0,0.0,86,4,0.046511627906976744
ARG,1973,0.0,0.0,0.0,0.0,0.0,0.0,71,2,0.028169014084507043
ARG,1974,0.0,0.0,0.0,0.0,0.0,0.0,102,7,0.06862745098039216
ARG,1975,0.0,0.0,0.0,0.0,0.0,0.0,62,2,0.03225806451612903
ARG,1976,0.0,0.0,0.0,0.0,0.0,0.0,81,5,0.06172839506172839
ARG,1977,0.0,0.0,0.0,0.0,0.0,0.0,74,3,0.04054054054054054
ARG,1978,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0
ARG,1979,0.0,0.0,0.0,0.0,0.0,0.0,73,2,0.0273972602739726
