year,country,speech_length,tokens_length,renewable_energy_count,climate_change_count,renewable_energy_1000_rate,climate_change_1000_rate
1956,IRL,4841,2245,0,0,0.0,0.0
1956,DOM,2820,1366,0,1,0.0,0.7320644216691069
1956,ETH,3666,1796,0,0,0.0,0.0
1956,BRA,1822,895,0,0,0.0,0.0
1956,LBY,1078,548,0,0,0.0,0.0
1956,BLR,3694,2012,0,0,0.0,0.0
1956,RUS,8867,4639,0,0,0.0,0.0
1956,SYR,5292,2608,0,1,0.0,0.3834355828220859
1956,BOL,3896,1975,0,0,0.0,0.0
1956,IDN,3836,1886,0,0,0.0,0.0
1956,SWE,1266,640,0,0,0.0,0.0
1956,JOR,4436,2178,0,0,0.0,0.0
1956,ARG,3024,1535,0,0,0.0,0.0
1956,IND,13298,5905,0,1,0.0,0.1693480101608806
1956,ALB,3027,1546,0,0,0.0,0.0
1956,TUN,3313,1629,0,0,0.0,0.0
1956,NOR,5473,2707,0,0,0.0,0.0
1956,POL,2802,1408,0,0,0.0,0.0
1956,LKA,5124,2346,0,0,0.0,0.0
1956,PHL,2453,1278,0,0,0.0,0.0
1956,GBR,2734,1341,0,0,0.0,0.0
1956,BGR,4216,2102,0,0,0.0,0.0
1956,ECU,3531,1715,0,0,0.0,0.0
1956,CRI,2225,1077,0,0,0.0,0.0
1956,PRT,1730,805,0,0,0.0,0.0
1956,CHN,3154,1610,0,0,0.0,0.0
1956,AUT,1835,917,0,0,0.0,0.0
1957,BEL,3451,1670,0,0,0.0,0.0
1957,GHA,1537,732,0,0,0.0,0.0
1957,BLR,5811,3107,0,0,0.0,0.0
1957,JPN,2663,1322,0,0,0.0,0.0
1957,TUR,2294,1127,0,0,0.0,0.0
1957,LBY,1513,756,0,0,0.0,0.0
1957,BRA,1702,806,0,0,0.0,0.0
1957,DOM,2802,1378,0,0,0.0,0.0
1957,ETH,1231,615,0,0,0.0,0.0
1957,PAK,2443,1207,0,0,0.0,0.0
1957,FRA,5120,2576,0,0,0.0,0.0
1957,IRL,4236,2116,0,0,0.0,0.0
1957,URY,3379,1716,0,0,0.0,0.0
1957,PAN,2637,1351,0,0,0.0,0.0
1957,AFG,1011,454,0,0,0.0,0.0
1957,VEN,2344,1188,0,0,0.0,0.0
1957,YUG,2393,1143,0,0,0.0,0.0
1957,HUN,4037,2162,0,0,0.0,0.0
1957,GRC,3651,1739,0,0,0.0,0.0
1957,MEX,6369,3113,0,1,0.0,0.32123353678124
1957,AUT,1699,843,0,0,0.0,0.0
1957,MYS,1534,716,0,0,0.0,0.0
1957,CHN,3529,1807,0,0,0.0,0.0
1957,ECU,4323,2215,0,0,0.0,0.0
1957,CRI,2005,933,0,0,0.0,0.0
1957,BGR,4706,2436,0,0,0.0,0.0
1957,GBR,7044,3353,0,0,0.0,0.0
1957,PHL,3253,1601,0,0,0.0,0.0
1957,LKA,2530,1212,0,0,0.0,0.0
1957,POL,3058,1526,0,0,0.0,0.0
1957,TUN,2268,1134,0,0,0.0,0.0
1957,ALB,3577,1818,0,0,0.0,0.0
1957,ARG,2080,1100,0,0,0.0,0.0
1957,IND,14752,6643,0,0,0.0,0.0
1957,JOR,3012,1583,0,0,0.0,0.0
1957,IDN,4485,2227,0,0,0.0,0.0
1957,SYR,4638,2288,0,0,0.0,0.0
1957,BOL,1322,659,0,0,0.0,0.0
1957,RUS,11355,5711,0,1,0.0,0.17510068289266328
1957,HND,2195,1114,0,0,0.0,0.0
1957,CUB,2974,1514,0,0,0.0,0.0
1957,ISR,4990,2447,1,0,0.4086636697997548,0.0
1957,KHM,1938,960,0,0,0.0,0.0
1957,PER,2396,1224,0,0,0.0,0.0
1957,COL,3754,1883,0,2,0.0,1.0621348911311737
1957,CHL,1680,831,0,1,0.0,1.203369434416366
1957,SLV,2277,1145,0,0,0.0,0.0
1957,SAU,5891,2906,0,0,0.0,0.0
1957,ITA,5090,2447,0,0,0.0,0.0
1957,MMR,1669,843,0,0,0.0,0.0
1957,NLD,2137,1045,0,0,0.0,0.0
1957,AUS,4389,2194,0,0,0.0,0.0
1957,LBN,7655,3805,0,0,0.0,0.0
1957,EGY,4978,2347,0,0,0.0,0.0
1957,NZL,3288,1647,0,0,0.0,0.0
1957,CSK,5413,2862,0,0,0.0,0.0
1957,NPL,4308,2107,0,0,0.0,0.0
1957,LBR,2383,1156,0,1,0.0,0.8650519031141869
1957,UKR,5042,2558,0,0,0.0,0.0
1957,LAO,1783,892,0,0,0.0,0.0
1957,ROU,4424,2278,0,0,0.0,0.0
